SampleId,ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
1,4a8e5304-77da-4e47-b619-aca08b0b2209,1980-08-25,12/4/00,999-11-2896,S99962323,FALSE,Ms.,Georgia89,Stokes390,,,,white,english,F,Needham MA US,759 Freeman Key Newton MA 02465 US
2,315c873c-33d4-41ee-830a-79c2fc1a722c,1985-01-04,,999-37-2251,S99957077,X70746262X,Mr.,Dwayne381,Blanda919,,,M,white,portuguese,M,Boston MA US,972 Cleta Manors Apt. 337 Boston MA 02112 US
3,fa391b2e-3df8-4465-9b61-3cd08b13378d,2008-10-03,,999-25-5369,,,,Tegan17,Schimmel556,,,,white,polish,F,Marlborough MA US,69125 Alicia Forge Suite 388 Worthington MA 01098 US
4,d541ef06-45bd-4082-a575-523e0ae2bb41,1950-02-27,,999-79-1222,S99946427,X90811764X,Ms.,Vernie575,Kassulke602,,,S,white,italian,F,Barnstable Town MA US,489 Gilbert Crescent Apt. 494 Quincy MA 02169 US
5,116dafb0-b366-4cf9-93d7-97a740331556,1959-02-17,,999-95-9349,S99960129,FALSE,Mr.,Gale300,Ernser226,,,M,black,west_indian,M,Freetown MA US,8047 Ziemann Trafficway Suite 846 Weymouth Town MA 02188 US
6,891abec7-6e3d-40a7-a04f-86abeea10649,1987-03-01,,999-28-1406,S99968548,FALSE,Mrs.,Ouida795,Hettinger879,,Fay357,M,asian,chinese,F,Norton MA US,63304 Feeney Flats Boston MA 02205 US
7,4cf992de-d750-402b-bdfe-f4a47bfb0ae1,1959-03-08,,999-42-2065,S99981505,FALSE,Mr.,Samuel550,Kshlerin982,,,M,white,russian,M,Watertown Town MA US,341 Mustafa Center Suite 703 Dracut MA 01826 US
8,2e305d7c-dfef-4ae0-b2bc-3047cd846077,1934-02-05,,999-90-5302,S99991265,X25294476X,Mr.,Alvin700,Glover686,,,S,white,english,M,Malden MA US,36514 Misael Villages Apt. 318 New Bedford MA 02746 US
9,05f0bd85-7b20-4e0d-8818-0945b83168e1,2009-01-03,,999-76-9621,,,,Chantelle640,Schulist932,,,,white,irish,F,Leverett MA US,729 Leonardo Street Suite 917 Reading MA 01867 US
10,7ff7e5b8-d97d-4b12-b985-4eb3da322176,1991-10-04,,999-47-3925,S99922845,X16665933X,Ms.,Charlyn232,Rempel239,,,,white,irish,F,Medford MA US,6007 Conn Radial Brockton MA 02303 US
11,a7a4c795-2fa0-4caa-afa0-0f651571702a,1955-04-06,,999-18-1442,S99970330,X55403423X,Mr.,Buddy473,Koch835,,,M,white,english,M,Boston MA US,3354 Wolff Overpass Lawrence MA 01841 US
12,d4d9d4f1-b75c-4595-9589-b03fd05a7e9b,1979-06-05,,999-94-7831,S99938558,X54623304X,Mrs.,Jason993,Hilll741,,Prohaska563,M,white,german,F,Waltham MA US,31102 Chloe Mountains Dedham MA 02026 US
